minutes,player_name,TS%,AST,TO,USG,ORR,DRR,REBR,PER
0,Sylvester,0.6218779617448897,31.77012608915706,14.54066527638373,38.531820163289964,8.354463076189928,20.291761620897642,15.996034566929314,33.28089458389003
0,Marvin the Martian,0.6092944664641861,36.96203024718393,15.206598212068444,34.99783792743878,7.3368409269031245,23.709256776371358,11.311795333555047,22.223053836013307
0,Road Runner,0.6159920655850445,27.995897944540186,13.810718591153952,30.867052228747745,7.265819194613846,30.214045951683946,13.794522273117702,19.470872440155695
0,Foghorn Leghorn,0.6089436822410423,32.57451911759884,15.217328350406376,32.34928154748593,3.6405333832655957,18.305370143477642,13.731215859828119,27.815557366695288
0,Bugs Bunny,0.6292715190716466,31.94155441858126,16.248286151505614,34.632877905937775,6.539184414807085,22.88798708163563,12.051630022608897,23.80618705288473
0,Elmer Fudd,0.6079700417824581,30.720338514283196,16.04480456455441,37.67762196961527,7.570376069337704,23.714498282133903,11.926254790388267,23.465478037917478
0,Lola Bunny,0.6303362129382601,30.76912353510824,13.669732588284543,34.856791883294875,3.1889999276397516,19.710464624662784,14.877981301732806,32.05650336316551
0,Porky Pig,0.5962730220376369,27.614814339287058,15.785378667457199,36.67645972835464,5.724918576607087,21.492733669549107,15.29086146532629,28.551168760449684
0,Tasmanian Devil,0.6059434463101645,29.22523042760065,15.657420486746323,33.47615797066009,5.290754409505597,20.845479295329024,7.138792210035723,16.608125511188874
0,Granny,0.6133239711066727,28.674882328814142,16.734016787767857,37.164085732207816,6.6097622245351175,22.150615828238298,12.639884870097458,25.078824972153996
0,Wile E. Coyote,0.6178729141233256,29.946312011601165,14.421037672036793,35.16222706290533,7.1544233853344945,21.78243495496074,13.041734360985984,26.202034676789943
0,Tweety,0.603627642344795,25.871898751729056,14.632014720609313,36.497300984110964,5.190446509807625,22.700408767894107,11.475313771647567,23.425542658210325
0,Penelope,0.6217891476710744,26.677676406703647,16.087873231755744,28.573530411290314,7.418475327303437,20.069957267670453,11.62302257041443,20.256059706850778
0,Daffy Duck,0.6274632065683178,35.39355945116781,14.827122901404227,32.11861562447848,6.211733745858972,23.381934226122866,15.13115271632487,27.379233976815385
12,Sylvester,0.6136495485447413,33.352369904184975,15.180207712932257,34.12827174813705,8.469989125853516,21.608024455838176,11.95656177956248,23.523135872643692
12,Marvin the Martian,0.6078277195945866,32.22565586483071,14.029962097980013,31.937300855079968,7.540468667642483,18.795014570945906,9.581040610043365,21.08869521781488
12,Road Runner,0.6233862583033358,26.069041810153745,13.119344388313248,36.21064015847078,7.633475580135703,29.875347719401464,11.23705865306477,19.85501265813498
12,Foghorn Leghorn,0.6157560241141182,30.345181293080156,16.57306890333547,32.14714913101662,6.455492806365662,14.228538211002682,14.460622433438264,29.937024023991725
12,Bugs Bunny,0.6349029330646768,30.7257088937476,15.568336753706516,34.688538426044296,4.650958823939999,19.08464987423568,15.046118315276907,31.40618798304733
12,Elmer Fudd,0.6403666139677497,27.916746386760316,16.533728190728322,35.16026021984924,4.959114463820315,25.964952505131354,15.754699518072021,27.83387605195567
12,Lola Bunny,0.6293226750265899,33.42183084768348,13.36590956326585,37.406555150287545,4.155950007425342,24.819566277013188,15.561907903824078,31.49757699998866
12,Porky Pig,0.6279908338652735,30.415530630428066,15.17099413480556,34.38477445392933,5.498932929349313,17.954543066720408,15.38056047515638,31.972698018389366
12,Tasmanian Devil,0.6107521502617417,30.180468973245464,15.586638761554868,40.497316118320086,5.463220009206352,21.247954333251847,9.451617704513984,24.136012072646693
12,Granny,0.6105694431177805,28.575859628176424,14.092139930930594,34.83784178573479,5.647600964741768,19.750687393726285,13.460495258875177,27.859312679396652
12,Wile E. Coyote,0.6158575159983489,29.932062652276954,14.610845099621356,32.95425435988218,6.977792992383678,20.703838564725217,16.700851227845657,30.449725300223378
12,Tweety,0.6058568039803074,25.865338263269056,13.90806144337069,37.53911945572104,4.875811060170426,23.010651293727186,10.18547868728716,22.67570978567528
12,Penelope,0.604333065392868,26.420076366731323,14.111893850956019,29.131675304209192,10.008220720328918,17.756864221664767,14.203627670825266,25.03602155161375
12,Daffy Duck,0.6322824600689151,25.85565616347538,14.851276366835243,34.13746090212211,5.391541796631883,21.7408064295027,12.973209628292338,26.1429579194276
24,Sylvester,0.643931176468132,31.03204428377083,14.94995114670464,33.45386485637821,9.014297260075802,18.72489800383865,9.088037886275293,22.41076643176619
24,Marvin the Martian,0.6229018026234844,34.55321679773113,13.840115435629665,31.645258869731787,5.18986362758776,26.52994319605721,9.887264721568386,18.33329695627232
